Sentence,Label
"This is a positive sentence",0
"I hate you!",1
"You are kind and helpful.",0
"This is unacceptable behavior.",1
"I appreciate your help.",0
"You make me sick.",1
"Today's weather is beautiful.",0
"Your comments are offensive.",1
"The movie was amazing.",0
"I can't stand your attitude.",1
"You are a wonderful person.",0
"Why are you so mean?",1
"This meal tastes delicious.",0
"I despise your actions.",1
"You always brighten my day.",0
"That joke was offensive.",1
"Your friendship means a lot to me.",0
"I can't tolerate your presence.",1
"Your support is greatly appreciated.",0
"I detest your behavior.",1
"You have a great sense of humor.",0
"I loathe your lies.",1
"Your kindness is heartwarming.",0
"I can't stand being around you.",1
"Your words are hurtful.",1
"You are a ray of sunshine.",0
"I can't forgive your actions.",1
"I value your friendship.",0
"Your behavior is despicable.",1
"I admire your dedication.",0
"Your attitude is toxic.",1
"Your encouragement keeps me going.",0
"I can't tolerate your negativity.",1
"You bring joy to those around you.",0
"I can't believe you said that.",1
"You are intelligent and talented.",0
"I can't handle your presence.",1
"You always make me smile.",0
"I find your words offensive.",1
"Your generosity is inspiring.",0
"I can't stand your lies.",1
"You have a positive attitude.",0
"I can't forgive you for what you did.",1
"Your compassion is commendable.",0
"I can't tolerate your behavior.",1
"You are a source of inspiration.",0
"I can't overlook your mistakes.",1
"Your friendship brings me joy.",0
"I can't bear your negativity.",1
"You have a great personality.",0
"I'm disgusted by your actions.",1
"You make the world a better place.",0
"I can't tolerate your disrespect.",1
"Your smile brightens my day.",0
"I can't accept your excuses.",1
"You are always there for me.",0
"I find your behavior offensive.",1
"Your determination is admirable.",0
"I can't stand your arrogance.",1
"You have a beautiful soul.",0
"I'm repulsed by your words.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a heart of gold.",0
"I can't overlook your flaws.",1
"Your presence is uplifting.",0
"I'm appalled by your actions.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
"Your positive energy is contagious.",0
"I can't tolerate your rudeness.",1
"You have a beautiful soul.",0
"I'm appalled by your words.",1
"You are an amazing person.",0
"I can't tolerate your insensitivity.",1
"Your love and support mean everything to me.",0
"I can't stand your negativity.",1
"You have a great sense of humor.",0
"I can't forgive your lies.",1
"You always bring joy to others.",0
"I find your comments offensive.",1
"Your kindness knows no bounds.",0
"I can't tolerate your behavior.",1
"You are a true inspiration.",0
"I can't bear your negativity.",1
"You have a contagious smile.",0
"I'm disgusted by your words.",1
"You are a valuable friend.",0
"I can't accept your behavior.",1
"Your presence brings happiness.",0
"I can't stand your arrogance.",1
"You have a heart of gold.",0
"I'm repulsed by your actions.",1
"You are a true friend.",0
"I can't forgive your betrayal.",1
